type,personality_type,user_id,social_interaction,communication,attention,group_comfort,energy_source,self_expression
ENTJ,Extrovert,user 1,5.0,5.0,4.9,4.8,4.1,5.0
ENTP,Ambivert,user 2,5.0,5.0,3.7,3.9,5.0,5.0
INFJ,Ambivert,user 3,5.0,5.0,5.0,3.3,4.2,5.0
INTP,Extrovert,user 4,5.0,5.0,5.0,4.5,5.0,5.0
INTJ,Ambivert,user 5,5.0,5.0,5.0,3.9,4.7,5.0
INTJ,Ambivert,user 6,5.0,5.0,4.1,3.7,3.4,5.0
ENFP,Extrovert,user 7,5.0,5.0,5.0,5.0,5.0,5.0
INTJ,Ambivert,user 8,5.0,5.0,5.0,3.4,5.0,5.0
INFJ,Ambivert,user 9,5.0,5.0,5.0,2.1,4.6,5.0
INTP,Ambivert,user 10,5.0,5.0,5.0,3.1,5.0,5.0
ENFP,Ambivert,user 11,5.0,5.0,5.0,3.7,5.0,5.0
ENFP,Extrovert,user 12,5.0,5.0,5.0,5.0,5.0,5.0
INTJ,Ambivert,user 13,5.0,5.0,5.0,3.6,5.0,5.0
INTP,Ambivert,user 14,3.7,5.0,2.2,4.0,5.0,5.0
INTP,Ambivert,user 15,5.0,5.0,4.6,3.3,5.0,5.0
INFJ,Ambivert,user 16,4.6,5.0,3.6,2.9,5.0,5.0
ISTJ,Ambivert,user 17,5.0,4.8,3.6,4.6,5.0,5.0
INFJ,Extrovert,user 18,5.0,5.0,4.2,5.0,5.0,5.0
INTP,Extrovert,user 19,5.0,5.0,5.0,3.8,3.6,4.6
ISTJ,Ambivert,user 20,2.7,4.4,1.4,3.0,5.0,5.0
ISFJ,Ambivert,user 21,5.0,5.0,5.0,3.7,5.0,5.0
INTP,Ambivert,user 22,5.0,5.0,5.0,3.0,4.7,5.0
ISTJ,Extrovert,user 23,5.0,4.7,5.0,4.9,5.0,5.0
INFJ,Ambivert,user 24,5.0,5.0,4.5,4.6,5.0,5.0
ENFP,Ambivert,user 25,2.9,5.0,1.8,3.2,5.0,5.0
ENFP,Ambivert,user 26,3.0,5.0,1.7,4.1,5.0,5.0
ENFP,Extrovert,user 27,5.0,5.0,5.0,4.5,5.0,5.0
INTP,Ambivert,user 28,3.8,5.0,2.9,3.1,5.0,5.0
INTJ,Ambivert,user 29,5.0,5.0,4.5,2.4,4.1,5.0
ISTJ,Extrovert,user 30,5.0,5.0,5.0,4.2,5.0,5.0
INTP,Ambivert,user 31,5.0,4.5,5.0,4.4,5.0,5.0
INFJ,Ambivert,user 32,4.2,5.0,2.7,4.0,5.0,5.0
ENFP,Ambivert,user 33,3.9,5.0,2.5,3.3,5.0,5.0
ENFP,Ambivert,user 34,2.9,5.0,1.0,3.9,5.0,5.0
INTP,Ambivert,user 35,5.0,4.9,4.2,3.8,4.6,5.0
ENFP,Ambivert,user 36,5.0,5.0,5.0,3.5,5.0,5.0
INFJ,Ambivert,user 37,5.0,4.2,5.0,3.2,5.0,5.0
ENFP,Ambivert,user 38,5.0,5.0,5.0,3.4,5.0,5.0
ENFJ,Ambivert,user 39,5.0,5.0,5.0,3.6,5.0,5.0
INFJ,Ambivert,user 40,4.1,5.0,3.0,3.1,4.8,5.0
INFP,Ambivert,user 41,4.0,5.0,3.8,2.6,5.0,5.0
ISTJ,Ambivert,user 42,3.7,5.0,2.5,4.0,5.0,5.0
ISTP,Ambivert,user 43,4.4,5.0,3.3,2.9,4.1,5.0
INFJ,Extrovert,user 44,5.0,5.0,4.6,4.9,5.0,5.0
INTP,Ambivert,user 45,3.4,5.0,3.0,2.3,5.0,5.0
INTJ,Ambivert,user 46,4.9,5.0,3.5,3.6,3.9,5.0
INTP,Ambivert,user 47,2.9,5.0,2.4,2.0,4.7,5.0
INTJ,Ambivert,user 48,5.0,5.0,3.8,3.8,4.9,5.0
INTP,Ambivert,user 49,5.0,4.8,5.0,3.1,5.0,5.0
INFJ,Extrovert,user 50,5.0,5.0,4.9,4.7,4.1,5.0
INFJ,Ambivert,user 51,5.0,4.9,5.0,3.5,5.0,5.0
ENTP,Extrovert,user 52,5.0,5.0,4.6,4.0,4.0,5.0
ENFP,Ambivert,user 53,5.0,5.0,5.0,2.3,5.0,5.0
ENFP,Ambivert,user 54,5.0,5.0,5.0,3.2,5.0,5.0
